@RELATION reviews

@ATTRIBUTE text STRING
@ATTRIBUTE class {positive,negative}

@DATA
'It’s really nice with the “DEEP” fragrance. It’s awesome', positive
'I love it, exactly what I want', positive
'It takes a while to be fully charged but it works perfectly.', negative
'This is my second buy I gave the first one out,I will recommend 1000000%', positive
'I just started using it but its working perfectly', positive
'Fine product, but doesnt last long like a 20000 MAh powerbank should.', negative
'Very good battery and cheaper', positive
'Nice size, lasts long but the last bar when charging and how heavy it is', negative
'It’s perfect already', positive
'I like this powerbank very nice', positive
'Last long,it just so good,I recommend it for u', positive
'The item is very good', positive
'It lasts for about 48hrs If used wisely!!', positive
'Good product', positive
'It’s a nice and strong product , I will order for more', positive
'The power bank is good, it serve it purpose.', positive
'It’s nice I think exactly what I want', positive
'Good, but it can be better', positive
'It can charge so many devices and still not run Down. I recommend it to everyone.', positive
'The product is very good', positive
'The product is lovely', positive
'I have been using it for 2 days now and its still serving me. I recommend', positive
'I’ve been using it for a while now and no complain at all I highly recommend', negative
'It was good and I hope it continues', positive
'Is very nice exactly what I ordered u guys are the best', positive
'Increase the quality of the battery', negative
'Is a very good product when I advice every one to get one of this Charged my phone twice time in fact  portable power bank is God sent to me', positive
'Exactly what I ordered, nice & pocket friendly', positive
'ACE Elect is a good product. They have never ', positive
' disappoint', negative
'Recommend for guyz to explore the world', positive
'I Love the Cool Sensation I feel each time I used it', positive
'Its very good but need to work on the last two bar', negative
'The product is very useful and I good', positive
'I charged it full and it has really served me for a long time now', positive
'I recommend this and I am even planning to buy another one, yes', positive
'exactly what I ordered just make sure you charge it full before using it so that it can last. Am going to recommend it anytime anyday', positive
'Perfect exactly what I ordered for', positive
'I love it my ever go to', positive
'It’s nice and yeah lasts longer than expected', positive
'The power bank really strong and not too big in physical I love it %100', positive
'This product perfectly okay.', positive
'Ace Elec 2000 is a good buy', positive
'Sincerely I love it ', positive
'Since the day I bought it my phone never run out of power', positive
'Works perfectly fine and quite portable too', positive
'The vagrant is pleasant I like it', positive
'Love the long lasting fragrance', positive
'The battery last long, i love it', positive
'It’s really nice. Fast charge and lasts long', positive
'Its been nice, charges well, lasts long. No problems so far', positive
'The power bank is a little bit Good, but when we reach the 2nd bar it drains excessively fast', negative
'It lasts long, its portable and easy to carry about and its beautiful. I highly recommend it', positive
'I love is very fast charging', positive
'Ive not used it yet,I got 2 for me and my sis, and she seems to like it, hopefully will too.', positive
'Very good power bank it last long then expected', positive
'Firstly, the power bank is very durable, it lasts long and it is portable. But I noticed that while I charge my phone for some hours, it will go off, making me feel like the battery is completely drained. As soon as I plug a charger to power it again, Ill realize that it still has up to 3 led light indicators', negative
'The battery usage is perfect', positive
'Wow the power bank can last for Africa I love it ', positive
'I love everything in this product', positive
'The short was great but the quality of the top was poor and it was small for the size i ordered', negative
'Last longer and faster charging', positive
'Ill recommend you to get it for your time purpose', positive
'The first two bars are actually good while the last 2 are weak.', negative
'It’s nearly perfect  I highly recommend', positive
'Its a really good product and pretty affordable for the work it does', positive
'I usually dont write reviews until after a month of use. For this product, so far, so good its been working decently for me. On a full charge the first bar is quite strong. It can charge your phone full twice without draining the battery or dropping a bar. Overall, once it drops to 2 bars before the last, at that point, it drains faster. If this is considered a review, thats my honest review after one month of using this product', negative
'The product is okay It was good battery life. The only thing is that the USB plug is a little tight', negative
'A product is working perfectly I like it', positive
'I like the fragrance of black cabon? on the skin', positive
'Got what I ordered in good condition. The roll-on smells okay but not as nice as I wanted.', negative
'Very good power bank', positive
'Long lasting. It charged my phone trice before it runs out of charge', positive
'I love its portability and long lasting power', positive
'The first dot charged my phone full and still didn’t move to the next dot . It’s strong and looks good too', positive
'Very nice product to use', positive
'Product just as seen Great product', positive
'Love is an understatement, this product is literally awesome. The product is like rock, although its takes time to fully charge but it last long. It would be nice if the manufacturer can include quick charge so it can fully charge on time, other than that the product is a 10 for me', negative
'Absolutely Amazing', positive
'VERY Portable not conspicuous to carry around more like lightweight.', positive
'Its stated on the name that its for men. But I use it cos I love the fragrance and am a lady. so any gender can use it.', positive
'The battery is very strong i have charged 2 phones and 3 hear bud the bar is still not dropping, i really love the power bank', positive
'Strong anf reliable. it is also comfortable to carry about', positive
'It’s so portable and the battery is long lasting. I love it!', positive
'Lasts long, it’s very comfortable and gentle on the skin.', positive
'Very good and outstanding', positive
'Nivea is always good products', positive
'Very fast, strong and affordable,', positive
'I really really love it.', positive
'Really good quality and fast charging indeed', positive
'I had  to buy another one for my sis,cos it works perfectly well', positive
'The quality is really good', positive
'It’s a great power bank but the only thing I dislike is that once it’s get to its last bar it stops to charge it has 4bars but as soon as it gets to the 4th bar it’s will stop working again apart from that it is very nice', negative
'Everything is good ', positive
'And it lasts longer if one person charges at a time But two phones at a time it wont last', negative
'I love it', positive
'I love this product, smelling good is one of my goal and I love it', positive
'Perfect battery durability', positive
'It doesnt last long but I like the size', negative
'by Greatness Odungide', positive
'The last third bar that last much, but first bar and second are good.', positive
'it was very Good more then what am expecting...', positive
'If you could put touch on it, it will be better.', positive
'However it is still OK like that', positive
'comfortable and it is a perfect fragrance', positive
'Im thoroughly impressed with this power banks performance Its strong, reliable, and charges my devices quickly. Great product', positive
'Nice product, enjoying it', positive
'Just keep producing good power bank', positive
'Lovely fragrance and long lasting', positive
'I love it its very solid and really strong', positive
'The power output is very reliable as well', positive
'I really love it ,am happy I bought it because we have low power supply', positive
'Good power bank. Highly recommended', positive
'not what expected not a good quality', negative
'I love everything about this power Bank its so good', positive
'Its very nice and effective', positive
'The product is good and its original', positive
'The first 2 lights at the top lasts very well but the last 2 is not that strong.. still good tho', negative
'Though Im still charging it,yet to use it', positive
'Its nice', positive
'Lasts long And has good quality', positive
'Good and chagering fast', positive
'So far its still working perfectly', positive
'Wish it had a flash light. But its good so far', positive
'Strong and lasting highly recommended', positive
'The product was great', positive
'The powerbank is good. Its working perfectly and last long', positive
'It last dont let the size fool you is a very good power bank', positive
'It very very powerful ', positive
'It very very nice', positive
'It’s comfortable and easy to carry around', positive
'Its working perfectly, I just hope it will last', positive
'I dont like the item you post to me is too small', negative
'The product is nice and economical. However, a little improvement is needed because it doesn’t last long.', negative
'It was just okay and in perfect condition', positive
'I used to be too anxious about sweating on various occasions but this product handles it perfectly.', positive
'Durability and working perfectly well .Charge before use to Enjoy to the fullest', positive
'im in love with it', positive
'This product is really amazing', positive
'Im enjoying it ', positive
'Great power bank and it lasts longer', positive
'Lasts really long actually Very nice', positive
'Bought it as a gift for my girlfriend and she love it..She reviewed the battery life as great and it lasts long', positive
'The capacity is updated and its indeed ultra slim portable power Bank I too much love this power Bank ', positive
'Thanks.', positive
'Its durable. Very good', positive
'Keep it up good product', positive
'I like it', positive
'It’s charges my phone 8 times and just only one bars is exhausted', positive
'It looks like what I ordered, but Im yet to test the capacity I hope it will last.', positive
'Using it now , good and durable', positive
'Perfect, i like it, its strong and lasting too', positive
'I so much love this power bank, it charges my phone 100 percent up to 5 times. Its a top notch for me.', positive
'It is ok, it last longer than I expected but when it reaches 2 dots, it just go faster but its a good product though', negative
'Has a very good battery life', positive
'I like the design of the power bank', positive
'The power bank is very good and easy to carry anywhere you want to go', positive
'Its a very good product this is my 4th orders and it serves the purpose', positive
'Works as described. Ill recommend it to everyone', positive
'The power Bank is good. I love the performance when fully charged.', positive
'At 2bar it doesnt last again I think that can be ', negative
'improved on', positive
'I ended up, buying 3 more because it is so good and long lasting', positive
'I love the product. What I ordered for was what I got', positive
'Amazing very strong lasting battery. I highly recommend it everyone', positive
'Very portable i love it', positive
'Excellent', positive
'Third time buying it', positive
'Once fully charged, itll last. I recommend it', positive
'Excellento! I am always ready for the nivea promo. My best buy', positive
'Well, this product is nice and lit, other people I purchased for, probably lack of care make theirs didnt last, but mine is 7 months and still working fine', negative
'So to some extent its good.', positive
